,Alamat,Email,Kategori,Kode Kategori,Nama Perusahaan,Status Badan Usaha,Telp1,Telp2,Telp3,Website
3855,"PANTAI INDAH UTARA 2, JL RT. 08/RW. 07, KAPUK MUARA, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14460",,Aktivitas Jasa Lainnya,,"NANA EYEBROWN DAN,BEAUTY",None,021-3000229,,,
3856,"GRAND INDONESIA WEST MALL LEVEL 3, KEBON MELATI, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10230",nanophilosophy@gi.com,Aktivitas Jasa Lainnya,,NANO PHILOSOPHY,None,08123581101,,,
3857,"LIPPO MALL KEMANG VILLAGE LT LG RT. 12/RW. 05, BANGKA, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12730",,Aktivitas Jasa Lainnya,,NAP SALON,None,021-29528878,,,
3858,"JL MANGGA BESAR I NO 9 RT. 06/RW. 05, MANGGA BESAR, KEC. TAMAN SARI, KOTA JAKARTA BARAT 11180",,Aktivitas Jasa Lainnya,,NATALIE SKINCARE,None,,,,
3859,,jakartamoi@natashaclinikcenti,Aktivitas Jasa Lainnya,,NATASHA,None,021-45867871,"MALL OFF INDONESIA LT 1 UNIT 626365, JL BOULEVARD BARAT RAYA NO 5 RT. 11/RW. 19, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,
3860,"KUNINGAN CITY, KARET KUNINGAN, KEC. SETIA BUDI, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,NATASHA SKIN CARE,None,,,,
3861,"EMPORIUM PLUIT MALL LT 2 RT. 22/RW. 8, PENJARINGAN, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14440",,Aktivitas Jasa Lainnya,,NATASHA SKIN CLINIC CENTER,None,021-66676610,,,
3862,"TAMINI SQUARE RT. 03/RW. 02, PINANG RANTI, KEC. MAKASAR, KOTA JAKARTA TIMUR 13560",,Aktivitas Jasa Lainnya,,NATASYA SKIN CARE,None,021-8778766,,,
3863,"JL RAYA PASAR MINGGU RT. 12/RW. 01, PEJATEN TIMUR, KEC. PASAR MINGGU, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,NAUTILUS TECHNOLOGI INDONESIA,PT,085959601113,2122790562,,
3864,"RS FATMAWATI NO 15 RUKO GOLDEN PLAZA BLOK G 09 RT. 02/RW. 06, GANDARIA SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12420",,Aktivitas Jasa Lainnya,,NAWAKARA ARTA KENCANA,None,021-7667900,,,
3865,"KOMP GOLDEN PLAZA BLOK C NO 1-3 NO 15 RT. 02/RW. 06, GANDARIA SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12420",,Aktivitas Jasa Lainnya,,NAWAKARA GROUP,PT,021-7669911,,,
3866,"RS FATMAWATI NO 15 RUKO GOLDEN PLAZA BLOK G 15-16 RT. 02/RW. 06, GANDARIA SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12420",,Aktivitas Jasa Lainnya,,NAWAKARA PERKASA NUSANTARA,PT,021-7669911,,,
3867,"KOMP RUKO GOLDEN PLAZA BLOK A 32 RT. 102/RW. 06, GANDARIA SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12420",,Aktivitas Jasa Lainnya,,NAWAKARA PT A,None,021-7669911,,,
3868,"JL ASIA AFRIKA SENAYAN GD STC SENAYAN LT 2 RT. 01/RW. 02, GELORA, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10270",,Aktivitas Jasa Lainnya,,NAWRI MANCALA INTERNATIONAL,PT,,,,
3869,"JL ZZ NO 35 RT. 05/RW. 05, RAWABADAK SELATAN, KEC. KOJA, KOTA JAKARTA UTARA 14230",,Aktivitas Jasa Lainnya,,NAZMAJAYA,PT,,,,
3870,"ITC PERMATA HIJAU RT. 11/RW. 10, GROGOL UTARA, KEC. KEBAYORAN LAMA, KOTA JAKARTA SELATAN 12210",,Aktivitas Jasa Lainnya,,NBC,None,0217-246631,,,
3871,"JL KEMANGGISAN, KEMANGGISAN, KEC. PALMERAH, KOTA JAKARTA BARAT",,Aktivitas Jasa Lainnya,,NCS,PT,,,,
3872,"PROF DR SOEPOMO JL RUKO CROWN PALACE BLOK C12 RT. 06/RW. 07, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN 12870",,Aktivitas Jasa Lainnya,,NEO HAIR,None,021-83787393,,,
3873,"BAYWALK, JL PLUIT KARANG AYU BLOK B1 UTARA LT 4 RT. 20/RW. 02, PLUIT, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14450",,Aktivitas Jasa Lainnya,,NEST,None,021-65305297,021-6509674,,
3874,"DANAU SUNTER UTARA JL BLOK DI NO 8 RT. 05/RW. 18, SUNTER AGUNG, KEC. TANJUNG PRIOK, KOTA JAKARTA UTARA 14350",,Aktivitas Jasa Lainnya,,NEST <YOGA>,None,021-65305897,,,
3875,"JL CIRANJANG NO 24 RT. 04/RW. 03, RAWA BARAT, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12180",,Aktivitas Jasa Lainnya,,NEW MODE SALON,None,021-29408057,,,
3876,"RUKO THAMRIN RESIDENCE RC 18, KEBON MELATI, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10230",,Aktivitas Jasa Lainnya,,NEWPORT MARINE SERVICE,PT,021-23579928,,,
3877,"RUKAN TIARA BUNCIT KEMANG UTARA IX NO 11 RT. 01/RW. 01, DUREN TIGA, KEC. PANCORAN, KOTA JAKARTA SELATAN 12760",,Aktivitas Jasa Lainnya,,NEXCOM INDONESIA,PT,021-79182490,,,
3878,"GOLF LAKE RESIDENCE VENICE BLOK B106/107 RT. 14/RW. 11, CENGKARENG TIMUR, KEC. CENGKARENG, KOTA JAKARTA BARAT 11730",,Aktivitas Jasa Lainnya,,NICO ELEKTRONIC <SRI>,None,021-29526260,,,
3879,"JL PATAL SENAYAN I NO 1 RT. 09/RW. 07, GROGOL UTARA, KEC. KEBAYORAN LAMA, KOTA JAKARTA SELATAN 12210",,Aktivitas Jasa Lainnya,,NINDYA SALON,PT,,,,
3880,"JL NO 12 WARUNG BUNCIT RAYA RT. 12/RW. 02, DUREN TIGA, KEC. PANCORAN, KOTA JAKARTA SELATAN 12760",,Aktivitas Jasa Lainnya,,NINGRAT MUDA MANDIRI,PT,021-79199165,021-79199175,,www.ningratmudamandiri.com
3881,"JL PURI AGUNG MALL PURI INDAH LT 1 RT. 01/RW. 02, KEMBANGAN SELATAN, KEC. KEMBANGAN, KOTA JAKARTA BARAT 11610",,Aktivitas Jasa Lainnya,,NISSA NAILS,None,021-5822428,,,
3882,"CIPINANG TIMUR RT. 10/RW. 04, CIPINANG, KEC. PULO GADUNG, KOTA JAKARTA TIMUR 13240",ptnugrahkencana@yahoo,Aktivitas Jasa Lainnya,,NUGRAH KENCANA BAKTI,PT,021-47881969,,,
3883,"RUKO MUTIARA RC 56 RT. 04/RW. 31, GEDONG, KEC. PASAR REBO, KOTA JAKARTA TIMUR 13760",,Aktivitas Jasa Lainnya,,NURARIA,PT,083872151327,,,
3884,"JL DANAU SUNTER UTARA BLOK J12/50 SUTER AGUNG RT. 10/RW. 14, SUNTER AGUNG, KEC. TANJUNG PRIOK, KOTA JAKARTA UTARA 14350",,Aktivitas Jasa Lainnya,,NUSA INDAH TEHNIC,PT,021-6506636,,,
3885,"BONA INDAH PLAZA, LEBAK BULUS, KEC. CILANDAK, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,NUSA INTERNATAKA,PT,,,,
3886,"JL MP PRAPATAN NO1 RT. 6/RW. 3, MAMPANG PRAPATAN, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12790",,Aktivitas Jasa Lainnya,,NUSA SARANA HANDAL,PT,021-7193831,021-7193831,,
3887,"STC LT 3, GELORA, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10270",,Aktivitas Jasa Lainnya,,NUSANTARA MUTUAL CAPITAL,PT,,,,
3888,"JL RADIO DALAM RAYA MARGA GUNA RT. 3/RW. 15, GANDARIA UTARA, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12140",ga_hrd@yahoo.com,Aktivitas Jasa Lainnya,,NUSANTARA PRIMA SUKSES SEJATI,PT,021-29054977,,,alazharmemorialgarden.com
3889,"JL CEMPAKA PUTIH TENGAH 30 NO 75 RT. 08/RW. 07, CEMPAKA PUTIH TIMUR, KEC. CEMPAKA PUTIH, KOTA JAKARTA PUSAT 10510",,Aktivitas Jasa Lainnya,,NUSATEL ARINDO GUTARA,PT,021-3317352,,,
3890,"MALL ARTHA GADING LT DASAR BLOK BS NO 15 RT. 05/RW. 21, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,OMAH REFLEXSI DAN MASSAGE,None,081905902910,,,
3891,"MALL GADING 3 LT 2 NO L2 - 43D, KELAPA GADING TIMUR, KEC. KELAPA GADING, KOTA JAKARTA UTARA",,Aktivitas Jasa Lainnya,,ONE PICE HAIR STUDIO,None,021-45878359,,,
3892,"MALL CENTRAL PAPK, JL S.PARMAN KAV 28 RT. 06/RW. 06, TANJUNG DUREN SELATAN, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT 11740",,Aktivitas Jasa Lainnya,,ONE PIECE,None,021-29201008,,,
3893,"MALL PLAZA SENAYAN LT 2, GELORA, KEC. TANAH ABANG, KOTA JAKARTA PUSAT",,Aktivitas Jasa Lainnya,,OPI,None,021-572512,,,
3894,"PLAZA INDONESIA LB JL MH THAMRIN KAV 28-30, GONDANGDIA, KEC. MENTENG, KOTA JAKARTA PUSAT 10350",opiindonesia@com,Aktivitas Jasa Lainnya,,OPY,None,021-31927975,,,
3895,"RS FATMAWATI NO 15 LOTTEMART LT 4 RT. 1021/RW. 104, GANDARIA SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12420",,Aktivitas Jasa Lainnya,,ORAIKIN,None,021-76975931,,,
3896,"CILANDAK COMERCIAL ESTATE RT. 13/RW. 05, CILANDAK TIMUR, KEC. PASAR MINGGU, KOTA JAKARTA SELATAN 12560",,Aktivitas Jasa Lainnya,,ORBIT COMMERCIAL ESTATE,PT,021-7824684,,,
3897,"RUKO CBD PLUIT BLOK C NO 06 RT. 22/RW. 08, PENJARINGAN, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14440",iraoriskin@gmail.com,Aktivitas Jasa Lainnya,,ORISKIN SALON,None,08519072096,,,
3898,"JL TANAH ABANG 4 RT. 03/RW. 03, PETOJO SELATAN, KEC. GAMBIR, KOTA JAKARTA PUSAT 10160",ibrahimsaragi@transsuei.com,Aktivitas Jasa Lainnya,,OSINDA,PT,021-3510785,021-3450773,,
3899,"CYBERZ TOWER LT 2 9, JL MRRAS UNAS A I D X S/13 RT. 07/RW. 02, KUNINGAN TIMUR, KEC. SETIA BUDI, KOTA JAKARTA SELATAN 12950",cs@oso-m.com,Aktivitas Jasa Lainnya,,OSO MANEJEMEN INVESTASI ,PT,021-29411429,021-29411428,,
3900,"PERWATA TOWEF LT 9 SUITE A RT. 22/RW. 08, PENJARINGAN, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14440",,Aktivitas Jasa Lainnya,,OSO SECURITIES,PT,,,,
3901,"JL KRAMAT ASEM RT. 09/RW. 04, UTAN KAYU SELATAN, KEC. MATRAMAN, KOTA JAKARTA TIMUR 13120",depromantasa@yahoo.com,Aktivitas Jasa Lainnya,,OUTA PRAMANTARA,PT,021-85659244,,,
3902,"JL BOULEVARD BARAT RAYA , KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA",,Aktivitas Jasa Lainnya,,OVERSEAZ ZONE,PT,021-45859822,,,www.overseazzone.com
3903,"JL PLUIT INDAH RAYA NO 21 BLOK B NO 8 RT. 01/RW. 07, PLUIT, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14450",,Aktivitas Jasa Lainnya,,OWI TUNGGAL INDO PERKASA,PT,021-6602799,021-6602798,,
3904,"JL WALANG BARU RAYA NO 16 RT. 02/RW. 12, TUGU UTARA, KEC. KOJA, KOTA JAKARTA UTARA 14260",hutama@yahoo.com,Aktivitas Jasa Lainnya,,PACIVICA WILDAN,PT,021-43964815,,,
3905,"THE MANHATTAN SQUARE MID TOWER LT 25 RT. 02/RW. 03, CILANDAK TIMUR, KEC. PASAR MINGGU, KOTA JAKARTA SELATAN 12560",,Aktivitas Jasa Lainnya,,PACKET SYSTEM INDONESIA,PT,021-29710500,021-29710555,,
3906,"JL GANDARIA I 337 RT. 4/RW. 9, KRAMAT PELA, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12130",,Aktivitas Jasa Lainnya,,PADMARINI,PT,021-7225680,,,
3907,"GD INTI CENTRE LT 2 JL TAMAN KEMANG NO 32 A RT. 14/RW. 01, BANGKA, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12730",,Aktivitas Jasa Lainnya,,PAIME ASIA LEATHER COMPANY,None,021-718128314,021-7181187,,
3908,"GD MIDPLAZA 1, KARET TENGSIN, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10220",,Aktivitas Jasa Lainnya,,PAIR OLIR,None,021-5700545,,,
3909,"JL DKH RT. 06/RW. 02, DUKUH, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR 13550",,Aktivitas Jasa Lainnya,,PAKU MAS,PT,021-87798473,021-87798473,,
3910,"SALAN BULEVAR BUKIT GADING RAYA BLOK B 29, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,PALAPA,PT,021-0860512,,,
3911,"JL TAMARA CENTER LT 12 JEND SUDIRMAN K 24, KARET, KEC. SETIA BUDI, KOTA JAKARTA SELATAN 12920",admin@phasemas.com,Aktivitas Jasa Lainnya,,PALIYA SUPALA EMAS,PT,021-5206450,021-25264543,,www.phasemas.co.id
3912,"KUNINGAN BARAT RT. 03/RW. 02, KUNINGAN BARAT, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12710",,Aktivitas Jasa Lainnya,,PALM COURT BIMA SARANA PERKASA,PT,021-5205999,,,
3913,"KOMP BUKIT GADING INDAH BLOK S2 - 345 RT. 06/RW. 15, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,PANAH MAS SUKSES,PT,021-6515982,021-45847854,,www.purigrup.net
3914,"JL RAYA FATMAWATI RT. 08/RW. 05, CILANDAK BARAT, KEC. CILANDAK, KOTA JAKARTA SELATAN 12430",,Aktivitas Jasa Lainnya,,PANASONIC SERVICE CENTRE,None,011-75918549,,,
3915,"JL TAMPAK SIRING BLOK KJG RT. 07/RW. 17, KALIDERES, KEC. KALI DERES, KOTA JAKARTA BARAT 11840",,Aktivitas Jasa Lainnya,,PANCA ABADI BERSAMA PT <FIVESTAR>,None,021-29028938,,,
3916,"JL KH WAHID HASYIM RT. 06/RW. 07, KEBON SIRIH, KEC. MENTENG, KOTA JAKARTA PUSAT 10340",,Aktivitas Jasa Lainnya,,PANCA ABADI SOLUSION,PT,,,,
3917,"JL SURYO PRANOTO NO 85 A RT. 01/RW. 07, PETOJO SELATAN, KEC. GAMBIR, KOTA JAKARTA PUSAT 10160",,Aktivitas Jasa Lainnya,,PANCA ANUGERAH WISESA,PT,021-3521065,,,www.bedietrich.com.56
3918,"JL KRT RAJIMAN WIDYODININGRAT KP PENGARENGAN NO 440 RT. 10/RW. 06, JATINEGARA, KEC. CAKUNG, KOTA JAKARTA TIMUR 13930",pt.pdip@yahoo.com,Aktivitas Jasa Lainnya,,PANCA DAYA INDONESIA PERSADA,PT,021-4603820,021-4603821,,
3919,"JL RAYA CONDET NO 5-7 RT. 05/RW. 02, BALE KAMBANG, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR 13530",pguks@yahoo.co.id,Aktivitas Jasa Lainnya,,PANCA GUNA TEKNIK,PT,0218-0874788,0218-80874788,,
3920,"JL TAMAN PLUIT KENCANA SELATAN NO 54 RT. 014/RW. 06, PLUIT, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14450",,Aktivitas Jasa Lainnya,,PANCA INVESTRADA,PT,,,,
3921,"SL CIPETE RAYA NO55 RT. 06/RW. 04, CIPETE SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12410",,Aktivitas Jasa Lainnya,,PANCA PUTRA GRACIA,PT,021-75915888,,,
3922,"ITC CEMPAKA MAS BLOK L NO 984 LT 4, SUMUR BATU, KEC. KEMAYORAN, KOTA JAKARTA PUSAT 10640",,Aktivitas Jasa Lainnya,,PANDORA <EKO>,None,081296630843,,,
3923,"MATRAMAN DALAM II RT. 14/RW. 08, PEGANGSAAN, KEC. MENTENG, KOTA JAKARTA PUSAT 10320",,Aktivitas Jasa Lainnya,,PANTAS JAYA,PT,,,,
3924,"JL BATAN I RT. 05/RW. 02, LEBAK BULUS, KEC. CILANDAK, KOTA JAKARTA SELATAN 12440",,Aktivitas Jasa Lainnya,,PANTO NASA CEMERLANG,PT,08217515876,,,
3925,"JL DANAU SUNTER RT. 11/RW. 14, SUNTER AGUNG, KEC. TANJUNG PRIOK, KOTA JAKARTA UTARA 14350",,Aktivitas Jasa Lainnya,,PARADISE-SPA,None,021-65834425,,,
3926,"JL GADING BATAVIA BLOK LC 9 NO 2 RT. 13/RW. 7, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",admin@paragon-indonesia.co.id,Aktivitas Jasa Lainnya,,PARAGON,PT,021-45858000,021-45877101,,
3927,"HBR MOTIL LANDAS PACU TIMUR RT. 15/RW. 09, KEBON KOSONG, KEC. KEMAYORAN, KOTA JAKARTA PUSAT 10630",,Aktivitas Jasa Lainnya,,PARKIR ANUGRAH MANDIRI KARYA BERSAMA,PT,0895328169299,,,
3928,"JL TELUK BETUNG NO 36, KEBON MELATI, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10230",,Aktivitas Jasa Lainnya,,PASIFIC FIBER PT INDONESIA,None,021-31906451,021-31906452,,
3929,"JL BULEVAR BUKIT GADING RAYA BLOK C I6 RT. 15/RW. 03, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",csjkt@pagejps.com,Aktivitas Jasa Lainnya,,PASILITA ERA GLORA <LILI YASMIN>,PT,021-45837576,,,
3930,"JL PURI KENCANA RUKAN PURI NIAGA 2 BLOK J 13 RT. 06/RW. 02, KEMBANGAN SELATAN, KEC. KEMBANGAN, KOTA JAKARTA BARAT 11610",,Aktivitas Jasa Lainnya,,PASIR SENTOSA JAYA,PT,021-58304081,,,
3931,"JL INPRES RT. 02/RW. 03, BATU AMPAR, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR 13520",,Aktivitas Jasa Lainnya,,PATARA SIDI BIMA CV,None,021-80871428,,,
3932,"PACIFIK PLACE MALL B-10 JEND SUDIRMAN KAV.52- 53 SCBD RT. 05/RW. 01, SENAYAN, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12190",paxi_barbershop@yahoo.co.id,Aktivitas Jasa Lainnya,,PAXI,None,021-5152299,021-51400988,,
3933,"FX.SUDIRMAN LT 3, JL JENDRAL SUDIRMAN PINTU SATU SENAYAN, GELORA, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10270",,Aktivitas Jasa Lainnya,,PAXI,None,,,,
3934,"KUNINGAN CITY, KARET KUNINGAN, KEC. SETIA BUDI, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,PAXI BABER SHOP,None,,,,
3935,"MALL KOTA KASABLANKA LT LG, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,PAXI BARBER SHOP,None,021-29465165,,,
3936,"CIPINANG INDAH MALL LT LG, JL RAYA KALIMALANG KAV 88 RT. 04/RW. 04, PONDOK BAMBU, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR 13430",paxiofficial@gmail.com,Aktivitas Jasa Lainnya,,PAXI BARBERSHOP,None,081283872399,,,www.paxibarbershop.com
3937,"LOTTE SHOPING AVENUE, KARET KUNINGAN, KEC. SETIA BUDI, KOTA JAKARTA SELATAN",,Aktivitas Jasa Lainnya,,PAXI BARBERSHOP,None,,,,
3938,"EMPORIUM PLUIT MALL LT 1 RT. 22/RW. 8, PENJARINGAN, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14440",,Aktivitas Jasa Lainnya,,PAXI BARBERSHOP,None,021-66676340,,,
3939,"MALL PLAZA SENAYAN LT 1, GELORA, KEC. TANAH ABANG, KOTA JAKARTA PUSAT",,Aktivitas Jasa Lainnya,,PAXI BARBERSHOP,None,021-57900148,,,
3940,"LIPPO MALL KEMANG VILLAGE LT LG RT. 12/RW. 05, BANGKA, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12730",,Aktivitas Jasa Lainnya,,PAXI SALON,None,021-29528493,,,
3941,"JL WIJAYA 5 NO 8 RT. 06/RW. 04, PETOGOGAN, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12170",,Aktivitas Jasa Lainnya,,PAYUNG NEGERI UTAMA,PT,021-72791208,021-72792288,,
3942,"KEBAYORAN BARU JL KEBAYORAN CENTER RT. 09/RW. 01, KEBAYORAN LAMA UTARA, KEC. KEBAYORAN LAMA, KOTA JAKARTA SELATAN 12240",,Aktivitas Jasa Lainnya,,PC 24 COMPUTER,None,021-7200986,,,
3943,"JL KALIMALANG NO 6E KALIMALANG SQUARE 12 RT. 09/RW. 07, PONDOK BAMBU, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR 13430",peeryos@gmail.com,Aktivitas Jasa Lainnya,,PEERYOS,None,08129937717,,,
3944,"MENARA THAMRIN KAV 3 SUITE 303, JL MH THAMRIN KAV 3 JAKARTA, KEBON SIRIH, KEC. MENTENG, KOTA JAKARTA PUSAT 10250",info@pegangsaanperkasa.com,Aktivitas Jasa Lainnya,,PEGANGSAAN PERKASA,PT,021-39830036,021-39830038,,
3945,"PINANGSIA 2 NO 14-16 RT. 12/RW. 05, PINANGSIA, KEC. TAMAN SARI, KOTA JAKARTA BARAT 11110",,Aktivitas Jasa Lainnya,,PEGASUS SPA,None,021-6282905,,,
3946,"MAL ARTHA GADING GF BLOK A5 NO 3, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,PEGGY'S LAUNDRY,None,027-45864366,,,
3947,"JL PETOGOAN II NO 55A RT. 031/RW. 05, PULO, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12160",marketing@pennyroos.com,Aktivitas Jasa Lainnya,,PENNY ROOS,PT,021-7207808,,,
3948,"GD GRAHA TUNAS KAV E LT 5 JL WR JATI BARAT NO63 JAKSEL RT. 06/RW. 05, KALIBATA, KEC. PANCORAN, KOTA JAKARTA SELATAN 12740",ghufar@gmail.com,Aktivitas Jasa Lainnya,,PEOPLE PRIME CONSULTANT,PT,021-7922103,021-7942857,,www.peopleprime.com
3949,"PERINTIS KEMERDEKAAN PERTOKOAN PULOMAS BLOK IV/9, PULO GADUNG, KEC. PULO GADUNG, KOTA JAKARTA TIMUR",,Aktivitas Jasa Lainnya,,PEOPLE SIGHT,None,021-4722223,,,
3950,"MENARA IMPERIUM LT 3 RT. 06/RW. 02, GUNTUR, KEC. SETIA BUDI, KOTA JAKARTA SELATAN 12980",,Aktivitas Jasa Lainnya,,PERHIMPUNAN PENGHUNI MENARA IMPERIUM,None,021-8354201,021-8354210,,
3951,"GD MARINA LT 5 RUANG 501, JL BOULEVARD BARAT RAYA KAV 1 RT. 15/RW. 03, KELAPA GADING BARAT, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",permataasiamakmur@gmail.com,Aktivitas Jasa Lainnya,,PERMATA ASIA MAKMUR,PT,021-4516857,,,
3952,"LOGISTIK, JL NO 36 PEGANGSAAN DUA RT. 05/RW. 04, TUGU SELATAN, KEC. KOJA, KOTA JAKARTA UTARA 14260",,Aktivitas Jasa Lainnya,,PERMATA DWI KARYA,PT,021-440646667,,,
3953,"WIJAYA IJ NO 48 RT. 03/RW. 04, MELAWAI, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12160",,Aktivitas Jasa Lainnya,,PESONA NATASYA GEMILANG,PT,021-7396073,021-7207924,,
3954,"GD SENTRA SALEMBA MAS, JL SALEMBA RAYA RT. 08/RW. 06, KENARI, KEC. SENEN, KOTA JAKARTA PUSAT 10430",asepa@dnet.net.id,Aktivitas Jasa Lainnya,,PESONA PUTRA PERKASA,PT,021-3928711,,,
3955,"JL BLOK H NO 16 17 RT. 01/RW. 01, PULO, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12160",,Aktivitas Jasa Lainnya,,PESONA SEHAT,PT,021-393146,,,
3956,"PLUIT VILLAGE GF 5 6 LT DASAR JL PLUIT PERMAI RAYA NO 6O RT. 01/RW. 04, PLUIT, KEC. PENJARINGAN, KOTA JAKARTA UTARA 14450",,Aktivitas Jasa Lainnya,,PETER F SAERANG,None,021-6683950,021-31935353,,
3957,"MALL CIBUBUR JUNCTION, JL JAMBORE NO 1 RT. 04/RW. 14, CIBUBUR, KEC. CIRACAS, KOTA JAKARTA TIMUR 13720",,Aktivitas Jasa Lainnya,,PETER F SAERANG <PFS>,None,021-87756533,,,
3958,"MALL TAMAN ANGGREK G 24 RT. 08/RW. 07, TANJUNG DUREN SELATAN, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT 11470",pfsoffice@peterfsaerang.com,Aktivitas Jasa Lainnya,,PETER F SAERANG SALON,None,021-5639323,,,
3959,"MALL KELAPA GADING 3 LT 1 RT. 13/RW. 18, KELAPA GADING TIMUR, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,PETER F. SAERANG,None,021-4529512,,,
3960,"JL BOULEVARD RAYA 1-3 RT. 12/RW. 18, KELAPA GADING TIMUR, KEC. KELAPA GADING, KOTA JAKARTA UTARA 14240",,Aktivitas Jasa Lainnya,,PIJAT RELEKSD,None,021-45846222,,,
3961,"JL CIPINANG PULOMAJA NO 18 RT. 12/RW. 10, CIPINANG BESAR UTARA, KEC. JATINEGARA, KOTA JAKARTA TIMUR 13410",,Aktivitas Jasa Lainnya,,PILAR ADHI GEMILANG,PT,021-8503584,,,
3962,"JL CIPETE RAYA NO 27C RT. 03/RW. 04, CIPETE SELATAN, KEC. CILANDAK, KOTA JAKARTA SELATAN 12410",studiopilatesplus@gmail.com,Aktivitas Jasa Lainnya,,PILATES,None,021-75910101,,,
3963,"GRAND INONESIA WEST MALL LEVEL 3, KEBON MELATI, KEC. TANAH ABANG, KOTA JAKARTA PUSAT 10230",ppgrandindonesia@gmail.com,Aktivitas Jasa Lainnya,,PINK PARLOUR,None,08123580539,,,
3964,"JL PACIFIC PLACE LG-16, JL JEND SUDIRMAN KAV 52-53 SCBD RT. 05/RW. 01, SENAYAN, KEC. KEBAYORAN BARU, KOTA JAKARTA SELATAN 12190",pppacificplace@gmail.com,Aktivitas Jasa Lainnya,,PINK PARLOUR,None,021-51400627,,,www.pinkparlour.co.id
3965,"LIPPO MALL KEMANG VILLAGE LT 3 RT. 12/RW. 05, BANGKA, KEC. MAMPANG PRAPATAN, KOTA JAKARTA SELATAN 12730",,Aktivitas Jasa Lainnya,,PINK PARLOUR,None,,,,
